critic,fresh,imdb,publication,quote,review_date,rtid,title
David Denby,fresh,114709,New York Magazine/Vulture,"Toy Story takes a number of surprising turns, and though I didn't fall in love with it -- there's a lot of routine clobbering, scrambling, and zooming about -- I remained interested and happy until the end (and children, I think, will adore it).",2019-12-31,0,Toy story
Michael Rechtshaffen,fresh,114709,Hollywood Reporter,"With ""instant classic"" written all over it, Toy Story, the first full-length feature entirely composed of computer-generated animation, is a visually astounding, wildly inventive winner.",2018-11-29,0,Toy story
Derek Malcolm,fresh,114709,Guardian,The rivalry between Woody the cowboy and Buzz the astronaut is worked out as a direct parallel to any other family quarrels and it is this sense of oneness that gives the film its kick.,2018-03-20,0,Toy story
Amy Nicholson,fresh,114709,Boxoffice Magazine,I think I speak for all adults and kids when I say I can't wait for playtime,2009-10-05,0,Toy story
Derek Adams,fresh,114709,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",2009-10-04,0,Toy story
Andrew Pulver,fresh,114709,Guardian,"Its lightness of touch has not diminished, nor has its near-miraculous kidult-fusion humour.",2009-10-04,0,Toy story
Tom Charity,fresh,114709,Times (UK),"The 3-D viewing doesn't make much difference...but it is a joy to see these superb films back on the big screen, even after dozens of DVD viewings.",2009-10-04,0,Toy story
Adam Woodward,fresh,114709,Little White Lies,"As such Toy Story in 3D is never overwhelming. Nor is it tedious, as many recent 3D vehicles have come too close for comfort to.",2009-10-04,0,Toy story
Richard Corliss,fresh,114709,TIME Magazine,The year's most inventive comedy.,2008-08-31,0,Toy story
David Ansen,fresh,114709,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,2008-08-18,0,Toy story
Leonard Klady,fresh,114709,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,2008-06-09,0,Toy story
Jonathan Rosenbaum,fresh,114709,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",2008-03-10,0,Toy story
Michael Booth,fresh,114709,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",2007-05-03,0,Toy story
Geoff Andrew,fresh,114709,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",2006-06-24,0,Toy story
Janet Maslin,fresh,114709,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,2003-05-20,0,Toy story
Nick Hilditch,fresh,114709,BBC.com,"Shot through with an exuberant and enviable sense of its own brilliance, Toy Story will continue to impress long after its technical virtuosity has been upstaged.",2001-12-10,0,Toy story
Kenneth Turan,fresh,114709,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",2001-02-13,0,Toy story
Susan Stark,fresh,114709,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,2000-01-01,0,Toy story
Susan Wloszczyna,fresh,114709,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",2000-01-01,0,Toy story
Paul Byrnes,rotten,113497,Sydney Morning Herald,"The humans are wooden, the computer-animals have that floating, jerky gait of animated fauna.",2015-08-19,1,Jumanji
Neil Smith,fresh,113497,BBC.com,Take away the CGI mayhem and what emerges is a rather touching tale of second chances and innocence prematurely lost.,2001-04-17,1,Jumanji
,fresh,113497,USA Today,A calculated but very entertaining special effects extravaganza.,2000-01-01,1,Jumanji
Roger Ebert,rotten,113497,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",2000-01-01,1,Jumanji
Adam Mars-Jones,rotten,107050,Independent (UK),"In their prime, the by-play of these two (Lemmon and Matthau) was like an entertainingly bad marriage, but time has made their antagonism seem perfunctory, and the rapport that underlies it somehow smug.",2017-11-15,2,Grumpy Old Men
Richard Schickel,fresh,107050,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,2008-08-24,2,Grumpy Old Men
Derek Adams,rotten,107050,Time Out,"Mediocre, regrettably.",2006-06-24,2,Grumpy Old Men
Caryn James,fresh,107050,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",2003-05-20,2,Grumpy Old Men
James Berardinelli,fresh,107050,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",2000-01-01,2,Grumpy Old Men
Desson Thomson,fresh,107050,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",2000-01-01,2,Grumpy Old Men
Roger Ebert,rotten,107050,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",2000-01-01,2,Grumpy Old Men
David Ansen,fresh,114885,Newsweek,"It takes its old-fashioned soap-opera formula and refurbishes it for the age of Oprah. What that means is that while the script by McMillan and Ronald Bass serves up moonstruck romantic fantasies, it speaks in the language of self-empowerment .",2008-03-31,3,Waiting to Exhale
Liam Lacey,rotten,114885,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,2002-04-12,3,Waiting to Exhale
Kenneth Turan,fresh,114885,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,2001-02-13,3,Waiting to Exhale
Edward Guthmann,rotten,114885,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",2000-01-01,3,Waiting to Exhale
Roger Ebert,fresh,114885,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",2000-01-01,3,Waiting to Exhale
James Berardinelli,rotten,114885,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",2000-01-01,3,Waiting to Exhale
Joan Walsh,rotten,114885,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",2000-01-01,3,Waiting to Exhale
Desson Thomson,fresh,114885,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,2000-01-01,3,Waiting to Exhale
Susan Wloszczyna,fresh,114885,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",2000-01-01,3,Waiting to Exhale
Susan Stark,rotten,114885,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",2000-01-01,3,Waiting to Exhale
